ticker,fiscal_year,filing_date,accession_number,source_file,total_net_revenue,net_interest_income,noninterest_revenue,total_noninterest_expense,pre_provision_profit,provision_credit_losses,income_before_tax,net_income,eps_basic,eps_diluted,efficiency_ratio,total_assets,total_liabilities,total_equity,total_loans_gross,allowance_loan_losses,net_loans,total_deposits,long_term_debt,short_term_borrowings,trading_assets,investment_securities_afs,investment_securities_htm,cash_due_from_banks,tier1_capital,tier1_capital_ratio,total_capital_ratio,tier1_leverage_ratio,cet1_ratio,rwa,tbvps,bvps,roe,roa,rotce,nim,net_charge_offs,net_charge_off_rate,npl,npa,npl_ratio,allowance_coverage_ratio,derivatives_notional,level1_assets,level2_assets,level3_assets,level3_pct_assets,var_value
C,2008,2009-02-27,0001193125-09-041237,2009-02-27_0001193125-09-041237.htm,52793.0,,,,,1336.0,95.0,25.0,,,,1938470.0,1796000.0,,56.0,29616.0,83630.0,774185.0,359593.0,13796.0,2348.0,100.0,,1136.0,,9.94,,3.0,,996247.0,,13.02,,0.14,,3.06,,,,,,,,,,,,
C,2009,2010-02-26,0001206774-10-000406,2010-02-26_0001206774-10-000406.htm,80285.0,,,,,8641.0,12882.0,1511.0,,,,1856646.0,1702000.0,,68.0,107.0,117187.0,835903.0,364019.0,227.0,,100.0,,8005.0,,13.16,15.03,3.0,,1088526.0,,5.35,,0.96,,3.03,,,,,,,,,,,,
C,2010,2011-02-25,0001206774-11-000316,2011-02-25_0001206774-11-000316.htm,86601.0,,,,,9622.0,8572.0,10883.0,,,,1913902.0,1748000.0,,68.0,608000.0,217680.0,844968.0,18131.0,336.0,,,,8576.0,,15.17,17.06,3.0,,977629.0,,5.61,,1.54,,3.15,2422.0,1.1126424108783535,,,,,,,,,,
C,2011,2012-02-24,0001206774-12-000799,2012-02-24_0001206774-12-000799.htm,78353.0,,,,,4763.0,6273.0,11215.0,,,,1873878.0,1694000.0,,68.0,617000.0,236505.0,865936.0,16057.0,213.0,,,,9020.0,,14.7,16.2,3.0,,973369.0,49.74,60.7,,1.85,,2.86,1614.0,0.6824380034248747,,,,,,,,,,183.0
C,2012,2013-03-01,0001206774-13-000852,2013-03-01_0001206774-13-000852.htm,30600.0,,,,,6557.0,5177.0,7760.0,,,72.0,1864660.0,1674000.0,,75.0,630000.0,630009.0,930560.0,239463.0,52000.0,,,,36453.0,,14.21,16.41,3.0,,971253.0,51.19,61.57,,0.4,,2.88,223.0,0.035396319735114895,,,,,,,,,,118.0
C,2013,2014-03-03,0001104659-14-015152,2014-03-03_0001104659-14-015152.htm,23018.0,,,,,6567.0,9208.0,13900.0,,,63.0,1880382.0,1674000.0,,573.0,646000.0,7663.0,968273.0,221116.0,59000.0,8491.0,,,1348.0,,13.52,15.6,3.0,,963949.0,55.31,65.23,,0.73,,2.85,201.0,2.622993605637479,,,,,,,,,,119.0
C,2014,2015-02-25,0000831001-15-000043,2015-02-25_0000831001-15-000043.htm,,,,,,6075.0,5.0,7313.0,,,72.0,1842530.0,1631000.0,,572.0,16000.0,629000.0,899332.0,223080.0,58000.0,9221.0,,,32108.0,,13.1,8.0,9.03,10.6,1275012.0,56.83,66.16,,0.39,,2.9,288.0,0.045786963434022256,,,,,,,,,,108.0
C,2015,2016-02-26,0000831001-16-000235,2016-02-26_0000831001-16-000235.htm,,,,,,6545.0,663.0,17242.0,,,57.0,1731210.0,393597.0,,573.0,277323.0,604991.0,907887.0,201275.0,100.0,9293.0,,,20900.0,,14.6,,10.18,12.07,1190853.0,60.61,69.46,,0.95,,100.0,234.0,0.03867826132950738,,,,,,,,,,106.0
C,2016,2017-02-24,0000831001-17-000038,2017-02-24_0000831001-17-000038.htm,,,,,,6771.0,,14912.0,,,59.0,1792077.0,413065.0,,591.0,284089.0,612309.0,929406.0,206178.0,458.0,2483.0,,,23043.0,,14.35,,10.09,12.6,1166764.0,64.57,74.26,,0.82,,102.0,511.0,0.08345459563717013,,,,,,,,,,108.0
C,2017,2018-02-23,0000831001-18-000040,2018-02-23_0000831001-18-000040.htm,,,,,,7503.0,164.0,6798.0,,,58.0,1842465.0,428880.0,,2.21,301729.0,654679.0,959822.0,236709.0,576.0,2814.0,,,23775.0,,13.03,,8.82,12.4,1134864.0,60.16,70.62,,0.36,4.6,103.0,379.0,0.057890966412547214,,,,,,,,,,110.0
